리뷰ID,리뷰작성일,상품구매일,배송완료일,리뷰본문,회원등급,상품번호,상품명,상품가격,상품옵션,리뷰작성경로,리뷰별점,태그,포토개수,동영상개수,댓글개수,댓글내용
cec6c167f3fa,2026-03-01 08:22:10,2026-02-27 10:46:10,2026-02-28 13:42:13,목디스크로 고생중임 사람입니다. 안마기능을 제외하고도 경추베개로서 훌륭합니다. 물론 안마기능도 좋구요..다만 자동모드시 온열기능을 끄거나 강도조절 기능이 있으면 좋겠습니다. 30분 하다보면 뜨겁습니다.,,724,★최대할인 비밀링크★ 목베개 플러스 특가,89000,수량선택: 목베개 플러스 1개,모바일,5,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
정성스럽게 올려주신 소중한 후기 감사합니다. 💜

고객님의 목소리로 더 발전하는 슬룸이 되도록 노력하겠습니다.
감사합니다. 🙇‍♀️"
c57b5bea0d4a,2026-03-01 11:31:13,2026-02-25 19:45:47,2026-02-27 16:15:22,"진동은  관찬아요.
목으로 올려주는 기능은 별로 그저그래요.",,724,★최대할인 비밀링크★ 목베개 플러스 특가,89000,쇼핑백 & 전용 어댑터 추가: 슬룸 USB 충전 어댑터 1개,모바일(팝업),3,,0,0,1,"안녕하세요 고객님, 프리미엄 헬스테크 브랜드, 슬룸입니다.
고객님께 만족스러운 경험을 드리지 못해 대단히 죄송합니다.😥

슬룸의 모든 제품은 인체공학적으로 설계되어 편안한 사용이 가능하나 초기 사용 시 1~2주 이상의 적응 기간이 필요할 수 있습니다. 
다만 수령하신 날짜 기준으로 30일 동안 꾸준히 사용해보시고도 만족하지 못하셨을 경우에는, 슬룸에서 진행하는 <100%환불이벤트> 에 참여하여 왕복배송비 제외 전액 환불이 가능합니다.

※ 제품을 30일간 꾸준히 사용한 경우, 배송완료 후 40일이내 신청이 가능
※ 환불 서비스는 첫 구매 체험을 위한 서비스로 1회만 신청 가능

▶ <100% 환불 이벤트> 상세 환불 조건 : https://sleeplab.co.kr/notice/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=13709226&t=board 

슬룸을 믿고 편하게 사용 및 체험해보시고, 그럼에도 만족하시지 못하셨을 경우 슬룸 공식몰의 채널톡을 통해 이벤트 기간 내 문의 주시면 환불 접수 도움드리겠습니다."
7fb5cfcd9e59,2026-03-01 11:44:14,2026-02-27 00:04:47,2026-02-28 16:15:04,"타사 앉아서 목에 거는 제품을 사용해보니 밀착감도 떨어지고 불편함을 느껴 검색중에 
구매했는데 누워서나 앉아서나 팔이 자유롭고 
편한 자세에서 받을 수 있어 매일하기 좋은거 같아요.
에어는 부드럽게 지압과 마사지가 되니 스트레칭에 좋고
롤러는 승모근을 풀어줘서 기능이 좋은거 같습니다.
조작버튼도 쉬워 마사지 받으면서 
쉽게 변경할 수 있어 좋아요.
롤러가 양방향이 안되는 점과 
충전 케이블 선이 너무 짧은게 좀 아쉽긴 합니다.
어깨보다 조금 위쪽으로
머리를 맞추면 롤러가 승모쪽을 시원하게 풀어주네요.
무선이라 역시 편하고
소음도 없고 적당한 압력으로 부드럽게 마사지를 받을 수 있어 림프를 풀어주는데도 도움이 될 듯 합니다.
가격도 저렴하고 가격대비 성능도 좋고
크기도 아담하고 무게도 가벼워 이동하기도 좋아요.
목베개도 주문할까 하고
왔다가 리뷰 남기고 갑니다.",,184,목편한케어 플라잉 목 마사지기,119000,수량선택: 목편한케어 플라잉 1개,모바일,5,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
정성스럽게 올려주신 소중한 후기 감사합니다. 💜

고객님의 목소리로 더 발전하는 슬룸이 되도록 노력하겠습니다.
감사합니다. 🙇‍♀️"
67fef2f63e6e,2026-03-01 11:56:45,2026-02-27 07:17:29,2026-02-28 13:43:17,고3 올라가는 아이 목때문에 한의원 파스 달고 사네요. 요몇일은 두통이 몇일동안 있고 괴로워 하길래 급하게 주문했네요. 이것저것 목 맛사지 기계 사용 해 본 아이 말로는 이게 1등이라네요. 각 기기 마다 목 부분  어깨부분 다르게 풀어주는 방식인데 플라잉 목 마사지기가 부드럽게 경직된 목을 잘 풀어주는것 같더라구요. 이에 경추 베게도 구입하려고 하네요. 아이 잠자기전 플라잉 목 마사지기 해주고 그 다음 경추베개마사지기로 마무리 하면서 재우려해요,,184,목편한케어 플라잉 목 마사지기,119000,수량선택: 목편한케어 플라잉 1개,모바일(상품리뷰),5,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
e71468ff7824,2026-03-01 12:48:25,2026-02-19 16:36:58,,"무료 반품이
된다 하여 구매 후 받아보자 마자 사리즈가 작아 반품 접수를 했으니 고객센터는 잔화를 받지 않고 AI가 알려준 반품 쟙수 절차대로 반품 접수를 했으나, 수거를 하러 오지 않다가, 반품처리 현황 인하러 들어오니 구매확정으로 상태가 변경되어 있네요. 다른 분들 잊점 감안하시고 구매하세요.",,724,★최대할인 비밀링크★ 목베개 플러스 특가,89000,수량선택: 목베개 플러스 1개,모바일,1,,0,0,1,"안녕하세요 고객님, 프리미엄 헬스테크 브랜드, 슬룸입니다.
고객님께 만족스러운 경험을 드리지 못해 대단히 죄송합니다.😥

슬룸의 모든 제품은 인체공학적으로 설계되어 편안한 사용이 가능하나 초기 사용 시 1~2주 이상의 적응 기간이 필요할 수 있습니다. 
다만 수령하신 날짜 기준으로 30일 동안 꾸준히 사용해보시고도 만족하지 못하셨을 경우에는, 슬룸에서 진행하는 <100%환불이벤트> 에 참여하여 왕복배송비 제외 전액 환불이 가능합니다.

※ 제품을 30일간 꾸준히 사용한 경우, 배송완료 후 40일이내 신청이 가능
※ 환불 서비스는 첫 구매 체험을 위한 서비스로 1회만 신청 가능

▶ <100% 환불 이벤트> 상세 환불 조건 : https://sleeplab.co.kr/notice/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=13709226&t=board 

슬룸을 믿고 편하게 사용 및 체험해보시고, 그럼에도 만족하시지 못하셨을 경우 슬룸 공식몰의 채널톡을 통해 이벤트 기간 내 문의 주시면 환불 접수 도움드리겠습니다."
981eaef92386,2026-03-01 20:28:26,2026-02-26 15:57:58,2026-02-28 13:41:10,정말 편안한 잠을 잣네요,,291,목베개 플러스 경추 목 마사지기 베개,99000,수량선택: 목베개 플러스 1개,모바일(팝업),5,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
cb74751f31df,2026-03-01 20:34:01,2026-02-23 13:39:28,2026-02-24 16:18:31,"불면증에 힘들었는데요.
정말 잠이 잘오네요.
감사합니다 ",,291,목베개 플러스 경추 목 마사지기 베개,99000,수량선택: 목베개 플러스 1개,모바일(팝업),5,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
0c444da72013,2026-03-01 08:32:09,2026-01-31 10:12:35,2026-02-03 17:55:00,3~4회 사용 해 봤지만 글쎄요 효과는 잘 모르겠어요 좀 더 사용 해 봐야 알 듯 될 듯 합니다,,645,"발편한케어 프리미엄 발 마사지기 (데일리, 프로)",99900,"사이즈&세트 선택: M (220 - 270mm), 수량선택: 발편한케어 1개",기존리뷰,3,,1,0,1,"안녕하세요 고객님, 프리미엄 헬스테크 브랜드, 슬룸입니다.
고객님께 만족스러운 경험을 드리지 못해 대단히 죄송합니다.😥

슬룸의 모든 제품은 인체공학적으로 설계되어 편안한 사용이 가능하나 초기 사용 시 1~2주 이상의 적응 기간이 필요할 수 있습니다. 
다만 수령하신 날짜 기준으로 30일 동안 꾸준히 사용해보시고도 만족하지 못하셨을 경우에는, 슬룸에서 진행하는 <100%환불이벤트> 에 참여하여 왕복배송비 제외 전액 환불이 가능합니다.

※ 제품을 30일간 꾸준히 사용한 경우, 배송완료 후 40일이내 신청이 가능
※ 환불 서비스는 첫 구매 체험을 위한 서비스로 1회만 신청 가능

▶ <100% 환불 이벤트> 상세 환불 조건 : https://sleeplab.co.kr/notice/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=13709226&t=board 

슬룸을 믿고 편하게 사용 및 체험해보시고, 그럼에도 만족하시지 못하셨을 경우 슬룸 공식몰의 채널톡을 통해 이벤트 기간 내 문의 주시면 환불 접수 도움드리겠습니다."
042eb9b66b3f,2026-03-01 10:14:21,2026-02-25 19:39:20,2026-02-27 16:15:06,빠르게 잘 빋았슴니다,,636,허리편한케어 V2 허리 마사지기,149000,수량선택: 허리편한케어 V2 1개,기존리뷰,5,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
90b3effdc1f9,2026-03-01 12:39:55,2026-02-23 23:55:40,2026-02-25 18:37:11,시원하게 아주 좋아요,,291,목베개 플러스 경추 목 마사지기 베개,99000,수량선택: 목베개 플러스 1개,기존리뷰,5,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
시간 내어 소중한 후기를 작성해 주셔서 감사드립니다. :)

믿고 찾는 쇼핑몰이 되기 위해 더 좋은 상품과 서비스를 준비하겠습니다.
감사합니다. 💜"
