리뷰ID,리뷰작성일,상품구매일,배송완료일,리뷰본문,사용자_익명ID,회원등급,상품번호,상품명,상품가격,상품옵션,리뷰작성경로,리뷰별점,태그,포토개수,동영상개수,댓글개수,댓글내용
116901,2026-07-01 08:20:07,2026-06-29 06:03:45,2026-06-30 21:07:30,목이 자주 뻐근해서 구매했는데 기대 이상이네요. 사용법도 간단하고 온열 기능이 있어서 더 시원하게 풀리는 느낌입니다. 자기 전에 15분 정도 사용하면 목과 어깨가 한결 편해져요. 강도도 부담스럽지 않아 매일 사용하기 좋습니다. 만족합니다!,2f491af3854a,,909,목 마사지 베개 V2 경추 마사지기 베개,112000,수량선택: 목 마사지 베개 V2 1개,모바일,5,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
시간 내어 소중한 후기를 작성해 주셔서 감사드립니다. :)

믿고 찾는 쇼핑몰이 되기 위해 더 좋은 상품과 서비스를 준비하겠습니다.
감사합니다. 💜"
116902,2026-07-01 08:42:47,2026-06-28 21:52:14,2026-06-30 13:41:33,진짜 시원하게 사람 손으로 하는 마사지보다 좋네요. ,82952c67c78a,,1005,[마리코리아x슬룸] 구독자 전용 ★초특가★ 비밀링크,119900,수량선택: 목 마사지베개 V2 1개,모바일(팝업),5,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
시간 내어 소중한 후기를 작성해 주셔서 감사드립니다. :)

믿고 찾는 쇼핑몰이 되기 위해 더 좋은 상품과 서비스를 준비하겠습니다.
감사합니다. 💜"
117003,2026-07-01 12:18:14,2026-06-27 00:00:15,2026-06-30 21:07:28,"딸아이가 목 마사지기 써보더니 너무 좋대요.
거북 목 되가는 거 같아서 걱정했는데 매일 마사지 해야겠어요.
전 허리통증이 심해서 매일 파스를 4장씩 붙이고 잤는데 어제 마사지30분하고 파스도 안 붙이고 잠들었어요.
골반마사지기도 고민중이에요.",67eaa3a5a008,,964,[코어 밸런스 업 세트] 허리편한케어 V2 + 목 마사지 베개 V2,242000,수량선택: 코어 밸런스 업 세트 (허리편한케어 V2 + 목 마사지 베개 V2),모바일,5,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
117004,2026-07-01 15:39:23,2026-06-26 08:14:32,2026-06-27 18:37:29,"좋아요~~~택배받자마자 해봤어요
찌릿찌릿 작동이 잘되고 꾸준히 써볼게요~~",ce898c145041,,874,발편한케어 프리미엄 고주파 발 마사지기,91000,"사이즈&세트선택: M (220-270mm), 수량선택: 발편한케어 1개 (파우치 중형 1개 증정)",모바일,5,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
정성스럽게 올려주신 소중한 후기 감사합니다. 💜

고객님의 목소리로 더 발전하는 슬룸이 되도록 노력하겠습니다.
감사합니다. 🙇‍♀️"
117005,2026-07-01 20:28:03,2026-06-29 18:48:51,2026-07-01 18:38:22,배드민턴 치면서 팔꿈치 통증이와서 혹시나하는 마음에 구매하였는데 압박감과 론열 그리고 전기모드가 강도를 약하게 하여도 생각보다 강하 자극되어 아픈부위를 자극이 잘되는거 같아 좋아요 계속 사용하여 통증이 사라지길바래요 ^^,9faf3a67951b,,980,프리미엄 엘보케어 팔꿈치 마사지기,149000,수량선택: 팔꿈치 마사지기 1개,반응형(내리뷰),5,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
117006,2026-07-01 02:44:54,2026-06-28 21:29:40,2026-06-30 18:42:40,쎄게 두드린다기보단 릴렉스하게 사용,,,1005,[마리코리아x슬룸] 구독자 전용 ★초특가★ 비밀링크,119900,수량선택: 목 마사지베개 V2 1개,기존리뷰,4,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
정성스럽게 올려주신 소중한 후기 감사합니다. 💜

고객님의 목소리로 더 발전하는 슬룸이 되도록 노력하겠습니다.
감사합니다. 🙇‍♀️"
117007,2026-07-01 05:07:06,2026-06-20 13:29:40,2026-06-23 21:11:49,아직은 적응중이지만 누워서 쓰니 편리,,,909,목 마사지 베개 V2 경추 마사지기 베개,112000,수량선택: 목 마사지 베개 V2 1개,기존리뷰,4,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
정성스럽게 올려주신 소중한 후기 감사합니다. 💜

고객님의 목소리로 더 발전하는 슬룸이 되도록 노력하겠습니다.
감사합니다. 🙇‍♀️"
117008,2026-07-01 07:30:47,2026-06-23 20:51:05,2026-06-25 16:21:14,충전잭 부분이 고정이 되어 있지 않아 찾기 매우 불편하고 꽂는것도 불편 하고 효과도 없네요,,,909,목 마사지 베개 V2 경추 마사지기 베개,112000,수량선택: 목 마사지 베개 V2 1개,기존리뷰,1,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
고객님께 만족스러운 경험을 드리지 못해 대단히 죄송합니다. 😥

리뷰로는 상세한 안내가 어려워, 자세한 내용 알림톡(문자) 발송 도와드렸으니 확인 부탁드리겠습니다.
추가로 궁금하신 점이 있으시거나 문자 확인하신 후에도 해결되지 않는 경우
번거로우시겠지만 슬룸 채팅 상담을 통해 연락 주시면 빠르게 안내 도와드리겠습니다.

▶ 슬룸 채팅 상담 (※ 월-목 09:30-17:00, 금 09:30-16:00, 주말 및 공휴일 휴무)
http://sloom.channel.io/

고객님의 목소리로 더 발전하는 슬룸이 되도록 노력하겠습니다. 감사합니다."
117009,2026-07-01 07:46:24,2026-06-14 08:36:40,2026-06-16 18:52:40,충전 잘 됩니다아아,,,376,허리편한케어 V1 전용 케이블,5000,,기존리뷰,5,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
117010,2026-07-01 11:12:00,2026-06-27 23:11:35,2026-06-30 16:20:11,뭉친 목 근육을 풀어주고 잠도 잘 잤네요,,,1001,[슬룸] 구독자 전용 ★초특가★ 비밀링크,84900,수량선택: 목 마사지 베개 V2 1개,기존리뷰,4,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
시간 내어 소중한 후기를 작성해 주셔서 감사드립니다. :)

믿고 찾는 쇼핑몰이 되기 위해 더 좋은 상품과 서비스를 준비하겠습니다.
감사합니다. 💜"
